Feature ID	Taxon	Consensus
ASV_1	Unassigned	1.0
ASV_10	Unassigned	1.0
ASV_11	Eukaryota;Ciliophora;Spirotrichea;NA;Strombidiidae;Strombidium;Strombidium cf. basimorphum	1.0
ASV_12	Unassigned	1.0
ASV_13	Eukaryota;Arthropoda;Hexanauplia;Calanoida;Paracalanidae;Paracalanus;Paracalanus parvus	1.0
ASV_14	Eukaryota;Bacillariophyta;Coscinodiscophyceae;Leptocylindrales;Leptocylindraceae;Leptocylindrus;Leptocylindrus convexus	1.0
ASV_15	Eukaryota;Ciliophora;Phyllopharyngea;Endogenida;Acinetidae;Acineta;Acineta flava	1.0
ASV_16	Eukaryota;Cnidaria;Anthozoa;Scleractinia;Acroporidae;Acropora;Acropora millepora	1.0
ASV_2	Unassigned	1.0
ASV_3	Unassigned	1.0
ASV_4	Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Fragilariopsis;Fragilariopsis sp.	1.0
ASV_5	Eukaryota;Bacillariophyta;Coscinodiscophyceae;Rhizosoleniales;Rhizosoleniaceae;Guinardia;Guinardia striata	1.0
ASV_6	Unassigned	1.0
ASV_7	Unassigned	1.0
ASV_8	Eukaryota;Cercozoa;Thecofilosea;Cryomonadida;Protaspidae;Cryothecomonas;Cryothecomonas aestivalis	1.0
ASV_9	Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Fragilariopsis;Fragilariopsis sp.	1.0
